category,state,price,year,avg_rating,business_suggestion
Canoe & kayak rental service,WA,**,2019,4.33,Recommended
Italian restaurant,NM,**,2017,4.18,Recommended
DVD store,AL,*,2016,4.16,Recommended
Rest stop,AL,*,2017,4.14,Recommended
Tex-Mex restaurant,AL,*,2015,3.13,Discreet
Brewpub,NH,**,2017,4.30,Recommended
Sunglasses store,WA,**,2019,4.30,Recommended
Lawn equipment rental service,NH,*,2015,3.97,Recommended
Pet store,NH,**,2021,4.19,Recommended
Animal feed store,AL,**,2019,4.47,Recommended
Bar & grill,WA,*,2018,4.20,Recommended
Party store,WA,*,2021,4.19,Recommended
Passport photo processor,MS,**,2020,3.77,Recommended
Vending machine supplier,WA,***,2020,2.93,Discreet
Tea house,NM,*,2015,4.90,Highly recommended
Photo shop,AL,**,2017,1.00,Not recommended
Coffee roasters,NH,**,2017,4.42,Recommended
Thrift store,MS,*,2019,3.73,Recommended
Spanish restaurant,NM,**,2017,4.26,Recommended
Equipment rental agency,WA,**,2018,5.00,Highly recommended
Fondue restaurant,AL,***,2017,4.50,Recommended
Butcher shop,WA,**,2017,4.65,Highly recommended
Caterer,WA,**,2017,4.15,Recommended
Brewery,WA,*,2016,4.57,Highly recommended
Mediterranean restaurant,AL,***,2016,4.60,Highly recommended
Candle store,WA,**,2021,4.65,Highly recommended
New American restaurant,WA,****,2017,4.40,Recommended
Diner,NM,**,2019,4.01,Recommended
Social club,WA,*,2018,4.48,Recommended
Video arcade,NH,*,2016,3.96,Recommended
Pakistani restaurant,WA,**,2018,3.93,Recommended
Beauty supply store,MS,**,2015,3.28,Discreet
Bar,Unknown,**,2016,4.14,Recommended
Chauffeur service,AL,**,2020,4.19,Recommended
Boutique,NM,**,2020,3.67,Recommended
Lawn mower store,MS,**,2017,4.57,Highly recommended
Swimming pool repair service,AL,**,2015,2.33,Discreet
Watch repair service,WA,**,2015,1.00,Not recommended
Banner store,WA,**,2019,4.33,Recommended
Toyota dealer,WA,*,2021,4.59,Highly recommended
Brazilian restaurant,AL,***,2017,4.46,Recommended
Dessert shop,NH,**,2015,4.66,Highly recommended
Breakfast restaurant,AL,**,2018,4.27,Recommended
Trailer rental service,AL,*,2017,3.81,Recommended
Meat dish restaurant,AL,***,2015,3.61,Recommended
Painting,NM,**,2019,4.62,Highly recommended
Poster store,NH,**,2017,3.36,Discreet
Variety store,AL,**,2018,4.05,Recommended
French restaurant,WA,***,2020,4.45,Recommended
Wedding venue,AL,**,2021,4.67,Highly recommended
Truck parts supplier,NM,**,2018,4.33,Recommended
Auto repair shop,AL,**,2017,4.56,Highly recommended
Italian restaurant,WA,*,2017,4.24,Recommended
Traditional restaurant,WA,*,2018,4.40,Recommended
Building materials supplier,NM,*,2015,3.54,Recommended
Sod supplier,MS,*,2020,4.29,Recommended
Floor refinishing service,NH,**,2020,5.00,Highly recommended
Grocery delivery service,AL,**,2020,5.00,Highly recommended
Warehouse store,WA,**,2020,4.52,Highly recommended
Sicilian restaurant,WA,**,2016,4.31,Recommended
Casino,WA,**,2015,3.07,Discreet
Jazz club,WA,**,2017,4.20,Recommended
Drinking water fountain,MS,*,2017,3.59,Recommended
Cake shop,AL,*,2017,3.86,Recommended
Californian restaurant,AL,**,2015,4.04,Recommended
Lingerie store,NM,***,2015,4.11,Recommended
Construction material wholesaler,WA,***,2015,5.00,Highly recommended
Fish and chips takeaway,WA,*,2021,4.71,Highly recommended
Sod supplier,WA,*,2019,4.24,Recommended
Chinese noodle restaurant,NH,**,2016,4.20,Recommended
Glass blower,WA,***,2017,4.60,Highly recommended
Electronics store,WA,***,2019,4.11,Recommended
Boot store,MS,**,2017,3.81,Recommended
Women's clothing store,MS,****,2016,3.00,Discreet
Shredding service,WA,**,2021,3.41,Discreet
Gluten-free restaurant,AL,*,2016,4.48,Recommended
Men's clothing store,MS,*,2015,4.12,Recommended
Passport photo processor,AL,**,2017,2.87,Discreet
Grill store,AL,**,2017,4.50,Recommended
Fusion restaurant,AL,*,2019,4.20,Recommended
Bank,NM,*,2020,5.00,Highly recommended
Fabric store,NH,**,2021,4.40,Recommended
Computer store,MS,*,2019,3.71,Recommended
DJ service,WA,*,2021,5.00,Highly recommended
Auto repair shop,AL,*,2018,3.20,Discreet
Molding supplier,NH,*,2021,5.00,Highly recommended
Georgian restaurant,WA,**,2021,4.76,Highly recommended
Contact lenses supplier,NH,*,2019,3.47,Discreet
Sofa store,NM,***,2018,3.67,Recommended
Toner cartridge supplier,AL,**,2019,1.00,Not recommended
Auto parts store,AL,*,2021,3.24,Discreet
Chocolate shop,NM,*,2020,4.54,Highly recommended
Takeout restaurant,AL,**,2021,3.94,Recommended
Jewelry store,AL,***,2021,3.81,Recommended
Bait shop,AL,*,2019,4.79,Highly recommended
Lounge,WA,*,2017,4.23,Recommended
Maternity store,WA,***,2021,4.29,Recommended
Furnace repair service,AL,**,2016,4.33,Recommended
Mediterranean restaurant,AL,**,2018,4.40,Recommended
Refrigerator repair service,Unknown,**,2018,3.87,Recommended
Italian restaurant,WA,*,2015,4.11,Recommended
Garden,AL,*,2017,5.00,Highly recommended
Pet supply store,AL,**,2017,4.25,Recommended
Malaysian restaurant,WA,**,2020,4.59,Highly recommended
Small engine repair service,AL,**,2020,4.54,Highly recommended
Beer garden,NH,**,2020,4.47,Recommended
Organic restaurant,NM,***,2019,4.40,Recommended
Caterer,WA,****,2021,4.62,Highly recommended
Lumber store,NH,*,2018,3.00,Discreet
Security service,AL,**,2020,4.13,Recommended
Pakistani restaurant,NH,**,2021,4.49,Recommended
Custom t-shirt store,AL,***,2015,3.61,Recommended
Lawn care service,WA,**,2017,3.18,Discreet
Internet cafe,MS,**,2016,3.90,Recommended
Night club,MS,**,2017,4.26,Recommended
Cheesesteak restaurant,WA,*,2021,3.79,Recommended
Jamaican restaurant,WA,**,2017,4.54,Highly recommended
Fashion designer,NH,*,2019,3.68,Recommended
Outdoor furniture store,MS,*,2016,3.76,Recommended
Dessert shop,NH,***,2018,3.92,Recommended
Steak house,MS,****,2020,4.36,Recommended
Donations center,NM,*,2020,4.09,Recommended
Tea store,WA,*,2015,4.33,Recommended
Dessert restaurant,NM,*,2020,4.34,Recommended
Salad shop,NH,**,2020,4.09,Recommended
Reiki therapist,AL,**,2015,5.00,Highly recommended
Irish pub,MS,**,2016,4.33,Recommended
Natural goods store,NH,***,2018,4.32,Recommended
Piano bar,WA,**,2018,4.30,Recommended
Delivery service,NM,*,2017,4.34,Recommended
Canoe and kayak club,WA,**,2015,3.00,Discreet
Sushi takeaway,NH,**,2021,4.56,Highly recommended
Copying supply store,WA,**,2020,4.50,Recommended
Southern restaurant (US),AL,**,2020,4.28,Recommended
African restaurant,NM,**,2017,4.52,Highly recommended
Security system installer,NM,**,2015,1.00,Not recommended
Mobile phone repair shop,NM,***,2017,3.31,Discreet
Crab house,WA,***,2016,4.37,Recommended
Consignment shop,MS,*,2015,3.33,Discreet
Event venue,MS,**,2016,4.07,Recommended
Pasta shop,NM,**,2019,4.35,Recommended
Supermarket,MS,**,2015,4.08,Recommended
General store,MS,**,2020,3.38,Discreet
Art museum,MS,**,2017,3.99,Recommended
Furniture store,WA,*,2017,3.94,Recommended
Car wash,AL,*,2019,3.50,Discreet
Diamond dealer,AL,***,2017,3.15,Discreet
Country club,MS,*,2016,4.50,Recommended
Musical instrument repair shop,WA,**,2018,4.53,Highly recommended
Telecommunications service provider,NM,*,2020,3.68,Recommended
Bridal shop,NH,**,2021,4.58,Highly recommended
Video game rental service,WA,*,2016,3.88,Recommended
Business center,NH,**,2021,3.82,Recommended
Wine store,MS,***,2019,4.66,Highly recommended
Traditional American restaurant,WA,***,2018,4.71,Highly recommended
Family restaurant,WA,*,2017,4.19,Recommended
Car wash,NM,*,2020,2.63,Discreet
Vietnamese restaurant,WA,**,2018,4.31,Recommended
Pilates studio,NM,**,2019,4.92,Highly recommended
Bistro,NM,*,2017,4.70,Highly recommended
American restaurant,MS,***,2016,3.86,Recommended
Cosmetics store,AL,***,2018,3.40,Discreet
Waxing hair removal service,AL,*,2020,5.00,Highly recommended
Gourmet grocery store,WA,**,2021,4.67,Highly recommended
Shipping company,WA,**,2016,3.08,Discreet
Dessert shop,WA,***,2018,4.75,Highly recommended
Grill,WA,***,2016,4.65,Highly recommended
Takeout Restaurant,WA,***,2017,4.37,Recommended
Material handling equipment supplier,NH,**,2016,5.00,Highly recommended
Party store,WA,**,2020,3.97,Recommended
Sunglasses store,WA,**,2018,4.18,Recommended
Microwave oven repair service,Unknown,**,2016,4.29,Recommended
Supermarket,MS,*,2016,3.94,Recommended
School supply store,MS,*,2019,4.03,Recommended
Cider bar,WA,**,2016,4.56,Highly recommended
Game store,WA,*,2020,4.53,Highly recommended
Oil change service,WA,*,2020,3.40,Discreet
Pizza takeaway,AL,*,2017,3.70,Recommended
Rest stop,AL,**,2020,4.32,Recommended
Tex-Mex restaurant,NM,**,2018,4.02,Recommended
Call center,WA,**,2019,3.83,Recommended
Cafeteria,AL,*,2020,4.14,Recommended
Crane rental agency,MS,*,2015,4.00,Recommended
Furnace repair service,WA,**,2019,3.46,Discreet
Lawn mower repair service,NM,***,2016,3.50,Discreet
Glassware store,AL,**,2016,4.05,Recommended
Computer repair service,WA,***,2017,3.14,Discreet
Laundry service,NM,**,2018,4.67,Highly recommended
Cosmetics store,MS,*,2017,3.86,Recommended
Basque restaurant,WA,***,2016,4.45,Recommended
Mobile phone repair shop,AL,**,2015,4.18,Recommended
Children's furniture store,AL,**,2020,4.47,Recommended
Italian restaurant,MS,*,2019,4.22,Recommended
Movie rental,NM,*,2018,4.67,Highly recommended
Barbecue restaurant,NH,*,2015,3.78,Recommended
Cafeteria,NM,*,2017,4.08,Recommended
Pub,NH,***,2020,4.60,Highly recommended
Telecommunications service provider,WA,**,2018,3.88,Recommended
Office furniture store,NH,***,2019,3.93,Recommended
Table tennis facility,WA,*,2015,5.00,Highly recommended
Telephone company,NM,*,2021,4.05,Recommended
Deli,NM,**,2016,4.18,Recommended
Hunting store,MS,**,2020,4.78,Highly recommended
Food court,NM,*,2018,4.35,Recommended
Mobile phone repair shop,AL,**,2017,4.19,Recommended
Drug store,NH,**,2017,3.60,Recommended
Office furniture store,WA,**,2017,3.76,Recommended
Optician,NM,**,2020,2.60,Discreet
Washer & dryer repair service,WA,**,2019,3.58,Recommended
Down home cooking restaurant,MS,**,2019,4.03,Recommended
Live music venue,NH,*,2021,4.66,Highly recommended
Antique store,WA,**,2019,4.30,Recommended
Glass & mirror shop,MS,**,2020,4.37,Recommended
Crêperie,NM,**,2016,3.50,Discreet
Used book store,WA,*,2020,4.10,Recommended
Mobile phone repair shop,NH,***,2017,3.05,Discreet
Concert hall,WA,***,2017,4.56,Highly recommended
Coffee shop,Unknown,*,2016,3.29,Discreet
Sichuan restaurant,WA,*,2019,4.16,Recommended
British restaurant,NH,**,2020,4.15,Recommended
Bagel shop,WA,**,2015,4.61,Highly recommended
Fast food restaurant,AL,*,2018,3.82,Recommended
Bistro,WA,**,2021,4.57,Highly recommended
Puerto Rican restaurant,AL,*,2016,4.83,Highly recommended
Korean restaurant,MS,*,2020,4.66,Highly recommended
French restaurant,AL,***,2019,4.78,Highly recommended
Embroidery service,NH,**,2017,3.00,Discreet
Children's clothing store,WA,***,2019,4.35,Recommended
Dance restaurant,WA,**,2018,3.40,Discreet
Musical instrument repair shop,WA,*,2021,4.63,Highly recommended
Motorcycle repair shop,NM,***,2020,4.58,Highly recommended
Pizza restaurant,AL,**,2020,4.35,Recommended
Industrial equipment supplier,WA,**,2016,4.40,Recommended
Clothing store,NM,****,2018,5.00,Highly recommended
Toner cartridge supplier,WA,**,2021,5.00,Highly recommended
Diner,MS,*,2021,3.98,Recommended
Coffee shop,NM,***,2017,3.75,Recommended
Electronics store,NM,**,2018,4.14,Recommended
Tapas restaurant,NM,***,2016,4.20,Recommended
Christian book store,AL,*,2021,5.00,Highly recommended
Jeweler,WA,***,2020,3.63,Recommended
Security system supplier,AL,**,2019,4.25,Recommended
Garden center,NH,*,2020,4.30,Recommended
Furniture store,MS,**,2020,3.81,Recommended
Used book store,WA,*,2021,4.07,Recommended
Pasta shop,WA,**,2020,4.26,Recommended
Indian grocery store,WA,**,2019,4.04,Recommended
Tea and coffee merchant,WA,*,2016,4.33,Recommended
Air conditioning repair service,NM,*,2020,4.33,Recommended
Coffee store,Unknown,**,2019,4.18,Recommended
Cafeteria,MS,**,2018,3.86,Recommended
Flooring store,WA,**,2020,2.50,Discreet
Chinese takeaway,AL,**,2015,4.75,Highly recommended
Gourmet grocery store,NH,**,2018,4.60,Highly recommended
Meeting room,WA,**,2015,5.00,Highly recommended
Discount supermarket,WA,*,2021,4.22,Recommended
Computer store,WA,***,2021,3.00,Discreet
Gluten-free restaurant,WA,****,2020,4.59,Highly recommended
Transmission shop,WA,*,2015,3.00,Discreet
Karaoke bar,AL,*,2019,4.29,Recommended
Collectibles store,NH,**,2020,4.16,Recommended
Plus size clothing store,NM,**,2015,4.22,Recommended
Breakfast restaurant,Unknown,*,2016,3.01,Discreet
Asian fusion restaurant,AL,**,2021,4.53,Highly recommended
Espresso bar,MS,**,2018,4.26,Recommended
Do-it-yourself shop,NH,**,2021,4.79,Highly recommended
Chicken wings restaurant,WA,*,2018,3.66,Recommended
Thai restaurant,NH,*,2017,4.33,Recommended
Ready mix concrete supplier,NH,*,2021,4.25,Recommended
Millwork shop,MS,*,2019,4.00,Recommended
Department store,AL,***,2018,4.20,Recommended
Bubble tea store,MS,**,2019,4.52,Highly recommended
Hardware store,NH,*,2015,3.91,Recommended
Store,NH,***,2018,4.61,Highly recommended
Cajun restaurant,NM,**,2019,4.75,Highly recommended
Childrens store,MS,**,2017,3.50,Discreet
Tool rental service,NH,**,2019,4.43,Recommended
Garden center,MS,***,2017,4.55,Highly recommended
Department store,NH,**,2021,4.15,Recommended
Cheese shop,WA,***,2018,4.60,Highly recommended
Blues club,MS,**,2021,4.50,Highly recommended
Lawn equipment rental service,WA,*,2017,3.52,Recommended
Lawn mower store,NM,*,2020,3.97,Recommended
Telephone company,MS,**,2019,4.25,Recommended
Spa,WA,**,2015,4.71,Highly recommended
Garage builder,WA,*,2018,3.92,Recommended
Leather goods store,NH,***,2018,4.75,Highly recommended
Tuxedo shop,NM,***,2019,3.90,Recommended
Tool store,AL,*,2015,3.92,Recommended
Soul food restaurant,AL,*,2019,4.45,Recommended
Wholesale grocer,MS,*,2019,4.38,Recommended
Candy store,AL,**,2020,4.03,Recommended
Lingerie store,MS,***,2017,3.94,Recommended
Home improvement store,WA,**,2021,4.51,Highly recommended
Camera store,AL,**,2015,3.25,Discreet
Health spa,WA,**,2016,3.54,Recommended
Buffet restaurant,WA,**,2019,3.94,Recommended
Home theater store,NH,**,2018,4.12,Recommended
Watch repair service,NM,**,2019,3.81,Recommended
Wedding bakery,NM,**,2019,4.71,Highly recommended
Dive club,WA,*,2015,3.67,Recommended
Plant nursery,AL,*,2019,4.15,Recommended
Vegetarian cafe and deli,AL,**,2020,4.67,Highly recommended
Restaurant,NH,***,2016,4.39,Recommended
Tourist attraction,MS,**,2017,3.97,Recommended
Graphic designer,NH,**,2015,5.00,Highly recommended
Lounge,NM,***,2019,4.24,Recommended
Plant nursery,MS,***,2016,5.00,Highly recommended
Cafe,WA,***,2015,4.36,Recommended
Equipment supplier,WA,***,2019,4.48,Recommended
Pool hall,WA,*,2015,4.09,Recommended
Discount store,NM,*,2018,4.04,Recommended
Vitamin & supplements store,MS,**,2015,4.04,Recommended
Copy shop,MS,**,2016,3.55,Recommended
Entertainment agency,WA,**,2016,4.22,Recommended
Bird shop,AL,**,2017,4.00,Recommended
Tea manufacturer,WA,*,2019,4.39,Recommended
Mexican restaurant,NM,**,2019,4.24,Recommended
German restaurant,WA,*,2017,4.59,Highly recommended
Gluten-free restaurant,Unknown,**,2015,4.63,Highly recommended
Scrapbooking store,AL,**,2015,4.03,Recommended
Country club,MS,*,2020,4.22,Recommended
Janitorial service,AL,**,2018,1.00,Not recommended
Bedroom furniture store,NH,*,2017,4.85,Highly recommended
Small plates restaurant,WA,**,2021,4.58,Highly recommended
Pan-Asian restaurant,WA,*,2019,4.18,Recommended
Nail salon,MS,**,2019,3.93,Recommended
Salad shop,WA,***,2021,4.59,Highly recommended
Barbecue restaurant,WA,**,2017,4.19,Recommended
Outdoor furniture store,NM,***,2015,5.00,Highly recommended
Alternative fuel station,WA,**,2021,2.91,Discreet
Wedding venue,NM,***,2020,4.42,Recommended
Mexican torta restaurant,MS,**,2016,3.12,Discreet
Brunch restaurant,AL,*,2020,4.16,Recommended
Liquor store,NM,**,2017,3.76,Recommended
Sporting goods store,NH,**,2020,4.08,Recommended
Baby store,NH,*,2020,3.29,Discreet
Music instructor,WA,*,2017,4.59,Highly recommended
Mobile phone repair shop,WA,***,2016,3.45,Discreet
Snack bar,WA,*,2018,3.21,Discreet
Fence supply store,AL,*,2015,5.00,Highly recommended
Glass repair service,WA,**,2019,3.50,Discreet
Cake shop,NH,***,2017,4.17,Recommended
Down home cooking restaurant,AL,**,2017,3.99,Recommended
Propane supplier,MS,*,2019,2.25,Discreet
Pharmacy,AL,*,2015,3.73,Recommended
Men's clothing store,NM,*,2019,4.16,Recommended
Brunch restaurant,AL,**,2018,4.45,Recommended
Security system supplier,WA,*,2017,1.00,Not recommended
Cosmetics store,NM,**,2020,3.05,Discreet
Hot dog stand,WA,*,2018,4.36,Recommended
Marine supply store,NH,**,2017,4.13,Recommended
Rug store,NM,***,2018,3.67,Recommended
Lounge,MS,**,2021,4.56,Highly recommended
Shipping and mailing service,WA,*,2016,4.58,Highly recommended
Animal feed store,NM,**,2015,3.50,Discreet
Silversmith,AL,**,2017,1.92,Not recommended
Bagel shop,AL,*,2015,3.64,Recommended
Sports bar,NM,**,2019,3.94,Recommended
Toy store,WA,***,2018,4.56,Highly recommended
Diner,NM,*,2019,4.12,Recommended
Piano bar,WA,**,2020,4.20,Recommended
Junk store,MS,*,2020,5.00,Highly recommended
Natural goods store,MS,*,2021,4.00,Recommended
Manufacturer,NM,***,2019,3.00,Discreet
Wholesale bakery,NM,**,2015,1.50,Not recommended
Shredding service,MS,**,2016,3.54,Recommended
Furniture store,NM,***,2015,5.00,Highly recommended
Soup restaurant,NH,*,2018,4.65,Highly recommended
Angler fish restaurant,NH,**,2017,4.29,Recommended
Tapas bar,WA,***,2016,4.23,Recommended
Entertainment,AL,**,2021,4.75,Highly recommended
Fish & chips restaurant,WA,*,2021,4.30,Recommended
Gourmet grocery store,NM,***,2016,4.25,Recommended
Catering,AL,**,2016,4.51,Highly recommended
Bagel shop,NH,**,2019,4.58,Highly recommended
Fashion accessories store,NM,***,2016,3.80,Recommended
Home goods store,WA,***,2019,4.19,Recommended
Wholesale bakery,MS,*,2020,4.25,Recommended
Internet cafe,MS,**,2017,4.18,Recommended
Afghani restaurant,WA,**,2020,4.27,Recommended
Indian takeaway,WA,*,2018,5.00,Highly recommended
Outdoor sports store,WA,**,2019,4.34,Recommended
Fraternal organization,AL,*,2018,4.33,Recommended
Family restaurant,WA,*,2020,4.28,Recommended
Video arcade,NM,*,2015,4.75,Highly recommended
Grill store,NH,*,2015,4.20,Recommended
Dress store,AL,*,2019,4.55,Highly recommended
Wedding bakery,WA,*,2015,4.53,Highly recommended
Gift shop,NM,**,2015,4.06,Recommended
Electrical supply store,MS,**,2016,2.47,Discreet
Grocery store,WA,***,2018,4.28,Recommended
Car repair and maintenance,WA,*,2019,4.67,Highly recommended
Noodle shop,MS,**,2017,4.70,Highly recommended
Candy store,AL,*,2021,4.18,Recommended
Ice cream shop,NH,**,2015,4.23,Recommended
Catering food and drink supplier,NH,***,2020,4.69,Highly recommended
Hypermarket,AL,*,2015,1.63,Not recommended
Fashion accessories store,NM,***,2018,4.16,Recommended
Bar,NM,***,2017,4.24,Recommended
Wi-Fi spot,MS,**,2019,4.61,Highly recommended
Pub,WA,*,2016,4.16,Recommended
Espresso bar,MS,**,2020,4.20,Recommended
Live music venue,Unknown,**,2021,4.62,Highly recommended
Spanish restaurant,NM,*,2017,4.30,Recommended
Candy store,MS,*,2020,4.40,Recommended
Chinese takeaway,MS,**,2020,4.59,Highly recommended
Steak house,MS,***,2018,4.45,Recommended
Bar,WA,****,2017,4.53,Highly recommended
Kitchen supply store,AL,**,2015,4.96,Highly recommended
Refrigerator repair service,AL,**,2020,3.53,Recommended
Piano bar,MS,**,2020,4.52,Highly recommended
Hobby store,MS,**,2018,4.40,Recommended
Northern Italian restaurant,WA,**,2015,4.42,Recommended
Soup shop,AL,*,2019,4.42,Recommended
Computer service,NM,**,2018,4.26,Recommended
Organic restaurant,AL,**,2020,4.57,Highly recommended
Cafeteria,NM,**,2017,3.15,Discreet
Doll store,NM,**,2018,3.87,Recommended
Live music bar,AL,**,2018,4.45,Recommended
Sushi takeaway,MS,**,2021,4.53,Highly recommended
Function room facility,NH,***,2016,4.04,Recommended
South American restaurant,WA,***,2020,4.45,Recommended
Home goods store,WA,*,2016,3.87,Recommended
Bedroom furniture store,NH,*,2021,4.82,Highly recommended
Soup restaurant,NM,**,2015,3.91,Recommended
Embroidery service,AL,**,2021,3.09,Discreet
Leather goods store,NM,***,2020,4.19,Recommended
Bridal shop,MS,**,2019,4.34,Recommended
Takeout Restaurant,NM,**,2016,3.84,Recommended
Banner store,MS,**,2020,5.00,Highly recommended
Paint store,NM,*,2015,3.58,Recommended
Fine dining restaurant,NH,****,2017,2.80,Discreet
Salad shop,AL,**,2021,4.05,Recommended
Karaoke bar,MS,**,2018,4.42,Recommended
Warehouse,AL,**,2020,4.07,Recommended
Used car dealer,NH,**,2016,4.36,Recommended
Nail salon,WA,*,2016,2.25,Discreet
Bathroom remodeler,MS,**,2020,5.00,Highly recommended
Children's clothing store,AL,**,2021,3.99,Recommended
Seasonal goods store,NM,**,2018,4.09,Recommended
Frozen yogurt shop,MS,*,2019,4.35,Recommended
Telephone company,NH,*,2021,3.30,Discreet
Steak house,AL,*,2016,4.54,Highly recommended
Beer store,AL,**,2017,4.65,Highly recommended
Foundation,MS,**,2017,4.75,Highly recommended
Cafeteria,WA,*,2017,4.22,Recommended
Work clothes store,NH,**,2021,3.50,Discreet
Children's clothing store,NM,**,2015,3.50,Discreet
Delivery Restaurant,WA,***,2020,4.34,Recommended
Gas station,NH,*,2015,3.59,Recommended
Art gallery,NH,**,2015,5.00,Highly recommended
Latin American restaurant,MS,**,2019,4.29,Recommended
Party store,AL,**,2020,4.04,Recommended
Refrigerator store,WA,**,2016,3.38,Discreet
Jazz club,WA,***,2019,4.80,Highly recommended
Flooring store,WA,*,2020,3.94,Recommended
Produce wholesaler,NM,*,2020,4.31,Recommended
Exhibit,WA,**,2019,4.71,Highly recommended
Asian restaurant,WA,****,2015,5.00,Highly recommended
Used car dealer,MS,**,2019,4.12,Recommended
Health food restaurant,AL,**,2015,4.12,Recommended
Greeting card shop,NM,**,2020,2.92,Discreet
