year,state,response_strategy,avg_rating
2015,Unknown,Slow but frequent,4.578149376545453
2015,NM,Occasional,3.9392600743072297
2016,WA,Rare or none,4.123457473980578
2017,AL,Rapid and frequent,4.21872522526658
2018,Unknown,Slow but frequent,4.624950650959555
2021,WA,Rapid and frequent,4.29100997398319
2020,WA,Occasional,4.280952699999237
2019,AL,Slow but frequent,4.379849755251795
2016,AL,Rare or none,4.093730053260656
2018,NM,Rare or none,4.181404515088504
2020,WA,Rare or none,4.302218544755637
2015,NH,Occasional,3.9770017403560427
2020,MS,Rare or none,4.2544716703715215
2018,MS,Occasional,4.207760075497376
2019,Unknown,Rare or none,4.445865422167204
2015,WA,Slow but frequent,4.086852773307424
2019,NH,Rapid and frequent,4.44165829960113
2015,NM,Rare or none,3.8661482282104567
2015,MS,Rare or none,3.919509373899936
2017,Unknown,Slow but frequent,4.5129026443865525
2020,WA,Rapid and frequent,4.29196737402404
2018,NM,Slow but frequent,4.308460909393814
2019,WA,Rare or none,4.267497917871553
2018,AL,Slow but frequent,4.361202219645954
2016,NH,Rapid and frequent,4.251033970214362
2016,WA,Rapid and frequent,4.057214264193539
2019,AL,Rare or none,4.260207015022407
2017,NH,Rare or none,4.295045993374854
2021,WA,Occasional,4.284299007603468
2019,AL,Rapid and frequent,4.341919542211366
2016,Unknown,Rapid and frequent,4.690633716810044
2021,WA,Rare or none,4.319287373040989
2017,WA,Occasional,4.182774095375113
2019,NM,Occasional,4.2105223988228335
2020,Unknown,Slow but frequent,4.71684656114739
2019,MS,Occasional,4.2628058053856925
2020,NH,Occasional,4.386630458780857
2021,NH,Occasional,4.406717737727502
2016,Unknown,Slow but frequent,4.487444740230214
2016,AL,Slow but frequent,4.224783523119351
2019,NH,Rare or none,4.337895792060014
2017,NH,Occasional,4.280086890086673
2017,WA,Slow but frequent,4.288736116787675
2019,Unknown,Occasional,4.493559323232015
2017,Unknown,Occasional,4.347961354059099
2017,NM,Rapid and frequent,4.103447056874666
2021,AL,Rapid and frequent,4.301934164260928
2016,NM,Slow but frequent,4.087352984995219
2018,MS,Rare or none,4.220707873364837
2016,MS,Rare or none,4.039414747116173
2015,WA,Rare or none,4.030698583827476
2019,MS,Rapid and frequent,4.299850041827016
2016,MS,Occasional,4.064110663494878
2021,NH,Rapid and frequent,4.391191985616129
2016,NM,Rapid and frequent,4.023796868259501
2020,MS,Rapid and frequent,4.245755679600319
2020,NH,Slow but frequent,4.502472458993411
2016,AL,Occasional,4.008119841862492
2017,NM,Occasional,4.133032564556286
2015,Unknown,Occasional,4.346174242424242
2017,MS,Occasional,4.168678243291063
2016,MS,Slow but frequent,4.159301363904579
2020,NM,Occasional,4.254151223994157
2021,NM,Occasional,4.230130387870046
2019,WA,Slow but frequent,4.38146018138417
2021,NM,Rapid and frequent,4.23584858038865
2017,MS,Rapid and frequent,4.116083206471625
2021,AL,Slow but frequent,4.417038139127507
2017,AL,Rare or none,4.219195410918024
2021,MS,Occasional,4.255050476954747
2021,NM,Rare or none,4.232386013211378
2016,AL,Rapid and frequent,4.154730144770437
2021,Unknown,Rare or none,4.369857713394418
2018,NH,Rare or none,4.325352609410621
2016,NM,Rare or none,3.998427283060326
2021,WA,Slow but frequent,4.403296597434348
2019,NM,Rare or none,4.206596319307439
2015,NH,Rare or none,4.0773256193662935
2019,WA,Occasional,4.269468214042642
2018,Unknown,Rare or none,4.487214649753223
