category,state,price,year,avg_rating,business suggestion
Lawn care service,NM,*,2016,4.25,Recommended
New American restaurant,AL,***,2020,4.571428571428571,Highly recommended
Computer support and services,WA,**,2019,4.333333333333333,Recommended
Oil change service,NH,*,2019,3.6131845006845,Recommended
Architectural salvage store,WA,**,2018,4.681159420289855,Highly recommended
Leather goods store,MS,***,2021,4.58704214559387,Highly recommended
Car wash,MS,*,2015,3.6666666666666665,Recommended
New American restaurant,NH,*,2018,4.566844919786096,Highly recommended
Wi-Fi spot,NM,**,2016,4.188048780487804,Recommended
Cheesesteak restaurant,WA,*,2020,3.970083640097163,Recommended
Tropical fish store,WA,**,2015,4.17639880952381,Recommended
Bridal shop,NH,*,2018,4.35,Recommended
Donut shop,AL,**,2021,4.521739130434782,Highly recommended
Japanese restaurant,NH,*,2019,4.155968285000543,Recommended
Shipping company,NM,**,2021,3.478949420677362,Discreet
Tuxedo shop,NM,**,2017,3.4576719576719577,Discreet
Jeweler,MS,**,2016,4.0,Recommended
Outerwear store,MS,**,2020,4.254166666666666,Recommended
Used clothing store,WA,****,2017,4.2,Recommended
Brasserie,WA,**,2017,4.331023622047244,Recommended
Data recovery service,WA,**,2016,1.625,Not recommended
Takeout Restaurant,NM,***,2021,4.65,Highly recommended
Spanish restaurant,WA,**,2017,4.074725049184144,Recommended
Linens store,NM,*,2016,4.875,Highly recommended
Storage facility,WA,*,2015,4.333333333333333,Recommended
Tool store,NH,***,2017,4.1,Recommended
Bar,MS,*,2018,4.346697599795135,Recommended
Tobacco shop,MS,*,2017,3.9825683272068493,Recommended
Mexican restaurant,NM,***,2016,4.110795454545455,Recommended
Health food store,NH,**,2019,4.068102525772179,Recommended
Butcher shop deli,WA,*,2016,4.4375,Recommended
Pub,AL,***,2018,3.375,Discreet
Mediterranean restaurant,WA,*,2015,4.2860787679753205,Recommended
Spice store,WA,***,2018,4.585365853658536,Highly recommended
Lunch restaurant,WA,***,2021,3.163692443269442,Discreet
Seafood market,AL,**,2017,4.452522759503504,Recommended
Shoe store,WA,***,2015,3.4559633958282605,Discreet
Bar,MS,*,2015,4.1175274338065035,Recommended
Asian restaurant,NH,*,2016,3.91377902646846,Recommended
Frozen yogurt shop,WA,*,2016,4.276280228288609,Recommended
Lawn equipment rental service,AL,**,2017,4.5054621848739504,Highly recommended
Musical instrument repair shop,WA,**,2016,4.9375,Highly recommended
Malaysian restaurant,AL,**,2019,3.9468085106382977,Recommended
Chinese bakery,WA,**,2020,4.472222222222222,Recommended
Organic restaurant,NM,**,2016,4.313465123157453,Recommended
Trailer supply store,NH,**,2016,5.0,Highly recommended
Lumber store,AL,**,2021,3.7083333333333335,Recommended
Pub,MS,**,2015,4.427083333333333,Recommended
Used office furniture store,NM,**,2021,3.5233333333333334,Recommended
Digital printer,WA,**,2019,4.719075268817204,Highly recommended
Linens store,NM,*,2017,4.397435897435898,Recommended
Tex-Mex restaurant,AL,*,2020,3.706373746807617,Recommended
Grill store,AL,*,2017,3.9934822053065013,Recommended
Internet cafe,AL,*,2017,4.755377826806399,Highly recommended
Hardware store,WA,*,2015,3.4938771600874454,Discreet
Shipping and mailing service,NH,**,2018,3.708265191598525,Recommended
Pasta shop,WA,*,2018,3.7989276626681203,Recommended
Vegetarian restaurant,NM,**,2016,4.216419228495599,Recommended
Kitchen supply store,NH,***,2017,5.0,Highly recommended
T-shirt store,WA,*,2021,4.378571428571428,Recommended
Discount store,AL,**,2016,4.126929392446634,Recommended
Korean restaurant,WA,***,2018,4.312138728323699,Recommended
Thrift store,WA,**,2017,4.541666666666667,Highly recommended
Optometrist,WA,***,2018,3.458333333333333,Discreet
Logistics service,MS,**,2021,3.555744394087503,Recommended
Electric motor store,WA,**,2016,3.5,Discreet
Alternative fuel station,NM,**,2017,3.7137505489679405,Recommended
Dessert restaurant,NM,**,2019,4.33828920191494,Recommended
Painting,NM,**,2019,4.615046136555503,Highly recommended
Goldsmith,MS,***,2016,2.244444444444445,Discreet
Tapas bar,WA,*,2021,4.909090909090909,Highly recommended
Shopping mall,NM,*,2021,4.75,Highly recommended
Bridal shop,WA,***,2020,4.581174118179492,Highly recommended
Peruvian restaurant,WA,**,2020,4.0576923076923075,Recommended
Bird shop,AL,**,2021,4.29097716024086,Recommended
Internet cafe,AL,*,2015,5.0,Highly recommended
Outerwear store,NM,**,2016,5.0,Highly recommended
Brewery,NH,**,2018,4.337489278028715,Recommended
Baking supply store,WA,**,2020,4.167284449079276,Recommended
Sporting goods store,Unknown,*,2020,4.048314606741573,Recommended
Bubble tea store,WA,*,2015,4.067785949682501,Recommended
Native american goods store,NM,**,2016,5.0,Highly recommended
Bedding store,AL,*,2019,4.581922030836367,Highly recommended
Lunch restaurant,MS,***,2018,4.165217391304348,Recommended
Health food store,NH,*,2019,4.684854497354498,Highly recommended
Soft drinks shop,MS,*,2017,4.5855263157894735,Highly recommended
Night club,NM,*,2016,4.0547729618163055,Recommended
Market,AL,***,2017,4.816666666666666,Highly recommended
Beer garden,AL,**,2017,4.106758832565284,Recommended
Asian restaurant,WA,**,2016,4.04179076953578,Recommended
Optometrist,WA,*,2015,2.550976800976801,Discreet
Window installation service,WA,*,2016,2.5,Discreet
Freight forwarding service,WA,**,2019,4.188852813852813,Recommended
Tool repair shop,NH,*,2015,1.0,Not recommended
Oil change service,AL,*,2015,3.2,Discreet
Linens store,Unknown,*,2020,4.254385964912281,Recommended
Industrial equipment supplier,MS,**,2018,1.0,Not recommended
Scenic spot,NH,**,2019,4.205671946857435,Recommended
Cantonese restaurant,NH,*,2016,4.4,Recommended
Middle Eastern restaurant,AL,**,2015,4.583333333333334,Highly recommended
Bicycle Shop,WA,***,2020,4.232857420712094,Recommended
Paper distributor,NH,**,2021,3.8452380952380953,Recommended
Used book store,NH,*,2020,4.052549319050359,Recommended
Conveyor belt sushi restaurant,WA,**,2016,3.940196475067023,Recommended
Plumbing supply store,AL,**,2018,4.265193753614806,Recommended
Luggage store,MS,***,2020,3.75,Recommended
Lighting store,NH,*,2016,3.8880866633366638,Recommended
Organic food store,NH,*,2021,4.182009742364523,Recommended
Bar,WA,**,2017,4.231652710958195,Recommended
Telecommunications service provider,MS,**,2021,4.405810312949053,Recommended
Children's clothing store,MS,**,2015,4.083333333333333,Recommended
Caterer,NM,*,2019,4.046375318508052,Recommended
Topsoil supplier,AL,*,2019,4.148556998556999,Recommended
Sandwich shop,AL,**,2017,4.242892198151716,Recommended
Video game store,Unknown,**,2020,4.0715596330275226,Recommended
Cajun restaurant,MS,*,2019,3.8746768069578197,Recommended
Ski rental service,WA,***,2020,4.46939736346516,Recommended
School supply store,NM,*,2016,3.859889735327631,Recommended
Soup restaurant,MS,*,2020,4.718812877263582,Highly recommended
Drug store,NH,**,2016,3.9486486486486485,Recommended
Hair salon,NM,**,2019,3.357697857697858,Discreet
Pub,NM,*,2016,4.199977643639616,Recommended
Bakery,MS,*,2021,4.277132454228587,Recommended
Convenience stores organization,NM,*,2015,5.0,Highly recommended
Deli,MS,*,2018,4.237822024431588,Recommended
Event venue,MS,***,2021,4.282051282051282,Recommended
Trailer supply store,NH,**,2021,4.75,Highly recommended
Mexican restaurant,NM,*,2020,4.221403198090527,Recommended
Tea house,NM,*,2017,4.720289083976234,Highly recommended
Spanish restaurant,AL,**,2015,3.9473684210526314,Recommended
Organic food store,WA,*,2019,4.388898270641627,Recommended
Bakery,MS,**,2020,4.321770776688424,Recommended
Soup restaurant,MS,*,2018,4.607178201915044,Highly recommended
Ethiopian restaurant,WA,*,2020,4.621472163843925,Highly recommended
Glass & mirror shop,MS,**,2016,4.8,Highly recommended
Filipino restaurant,WA,**,2020,4.435453959038865,Recommended
Pet supply store,MS,**,2018,4.394776971996526,Recommended
Cigar shop,MS,**,2020,4.758620689655173,Highly recommended
Photo shop,WA,**,2018,4.029952516619184,Recommended
Natural goods store,AL,*,2019,4.246596398770312,Recommended
Brewing supply store,WA,**,2018,4.524786324786325,Highly recommended
Halal restaurant,NH,**,2021,4.46875,Recommended
Espresso bar,AL,*,2019,4.399082568807339,Recommended
Boot store,WA,*,2016,3.941031941031941,Recommended
Vietnamese restaurant,MS,**,2017,4.147377949377949,Recommended
Italian restaurant,NH,*,2016,4.078907306613806,Recommended
Breakfast restaurant,NM,***,2018,4.325,Recommended
Modern European restaurant,WA,***,2021,4.607142857142858,Highly recommended
Caterer,AL,***,2019,4.489354114439577,Recommended
European restaurant,NH,***,2016,4.347222222222222,Recommended
Appliance repair service,MS,**,2017,3.7588846208564513,Recommended
Tea house,NH,**,2020,4.53235880768798,Highly recommended
Pizza,WA,***,2016,2.0,Not recommended
Vineyard,NM,**,2015,4.546052631578948,Highly recommended
Cupcake shop,WA,**,2017,4.418471772860174,Recommended
Fugu restaurant,WA,**,2017,4.433333333333334,Recommended
Bird shop,MS,**,2016,4.138793979130114,Recommended
Printing equipment and supplies,AL,**,2016,3.6666666666666665,Recommended
Vacuum cleaner store,AL,***,2018,5.0,Highly recommended
Chicken restaurant,WA,**,2020,4.323250707738408,Recommended
Youth clothing store,NM,**,2020,4.095238095238095,Recommended
Shoe store,NM,***,2020,4.219651812398122,Recommended
Animal feed store,MS,**,2019,4.432315440755291,Recommended
Knit shop,NH,**,2017,4.154682833115848,Recommended
North African restaurant,NM,*,2016,3.84,Recommended
Lawn mower repair service,WA,***,2018,4.902777777777778,Highly recommended
Home goods store,MS,*,2018,4.129463139384684,Recommended
French restaurant,WA,***,2016,4.443321453925449,Recommended
Pet supply store,NH,**,2020,4.244399709207391,Recommended
Medical supply store,AL,**,2019,3.2017543859649122,Discreet
Massage spa,WA,**,2020,4.7625,Highly recommended
Home theater store,NH,***,2021,4.833333333333333,Highly recommended
Sunglasses store,AL,***,2020,3.9404761904761907,Recommended
Grocery store,NM,*,2020,4.0495772898470594,Recommended
Fusion restaurant,AL,**,2021,4.245901639344262,Recommended
Japanese regional restaurant,WA,***,2016,4.44,Recommended
Modern Indian restaurant,NM,**,2020,4.358108108108108,Recommended
Cocktail bar,WA,**,2016,4.321842386328404,Recommended
Shopping mall,AL,***,2019,4.353741496598639,Recommended
Security service,AL,**,2016,1.0,Not recommended
Gift wrap store,NH,**,2018,3.5714285714285716,Recommended
Window treatment store,NH,***,2020,4.0,Recommended
Grill store,AL,*,2021,4.075972703784433,Recommended
Fashion designer,WA,*,2015,2.6153846153846154,Discreet
Health spa,NM,**,2019,4.9245283018867925,Highly recommended
Microwave oven repair service,WA,**,2019,4.369565217391305,Recommended
Lounge,AL,*,2018,4.1342400891541216,Recommended
Millwork shop,WA,*,2019,4.131845238095238,Recommended
Sports bar,MS,**,2020,3.9854182709260733,Recommended
Abrasives supplier,MS,**,2019,4.666666666666667,Highly recommended
Wallpaper store,AL,**,2015,4.142857142857143,Recommended
Hardware store,MS,*,2015,3.772729353979354,Recommended
Pizza delivery,MS,**,2020,3.9516912693025095,Recommended
Restaurant,NH,***,2021,4.586087015324399,Highly recommended
Bistro,AL,**,2020,4.529955485352587,Highly recommended
Telecommunications service provider,NM,*,2018,3.8333525488710714,Recommended
Italian grocery store,WA,**,2016,4.625,Highly recommended
Spanish restaurant,NM,***,2020,4.5423728813559325,Highly recommended
Takeout restaurant,AL,*,2019,3.926800251987273,Recommended
Dessert restaurant,NM,**,2015,3.3173280423280422,Discreet
Donations center,AL,*,2016,2.0,Not recommended
Tea house,NH,*,2020,4.708709072473911,Highly recommended
Glass & mirror shop,MS,**,2018,4.222159090909091,Recommended
Modern French restaurant,NM,***,2019,4.441558441558442,Recommended
Picture frame shop,NH,**,2019,4.382505984666344,Recommended
Outlet store,NM,**,2018,4.422056683775137,Recommended
Banquet hall,Unknown,**,2020,4.327922077922078,Recommended
Gift basket store,AL,**,2018,4.542764374825156,Highly recommended
Manufacturer,AL,**,2015,5.0,Highly recommended
Gluten-free restaurant,Unknown,**,2019,4.321428571428571,Recommended
Women's clothing store,NM,**,2021,4.053186218666095,Recommended
Seafood market,WA,***,2019,4.546637088982285,Highly recommended
South American restaurant,WA,**,2019,4.177685950413223,Recommended
Korean restaurant,Unknown,*,2017,4.75,Highly recommended
Business to business service,WA,**,2015,3.681782945736434,Recommended
Drug store,NH,**,2018,3.7668456543456537,Recommended
Sewing shop,AL,**,2017,4.272625016131114,Recommended
Food products supplier,WA,**,2019,4.293410852713178,Recommended
Bistro,AL,**,2019,4.4042685048713945,Recommended
Party store,WA,**,2016,3.9217015701744207,Recommended
Safety equipment supplier,MS,**,2017,4.0,Recommended
Computer store,WA,***,2018,4.442065521860918,Recommended
Bowling alley,NM,**,2018,4.153321976149915,Recommended
Painter,NM,*,2018,1.0,Not recommended
Candy store,MS,*,2021,4.561987354750512,Highly recommended
Florist,MS,*,2015,3.9645833333333336,Recommended
Salad shop,NH,*,2016,3.9868069542544977,Recommended
Tamale shop,WA,**,2019,4.39,Recommended
Cutlery store,WA,***,2016,4.2281818181818185,Recommended
Physical fitness program,WA,**,2016,5.0,Highly recommended
Golf instructor,NH,**,2019,4.5,Recommended
Pizza restaurant,Unknown,*,2018,4.598930481283422,Highly recommended
Truck rental agency,AL,*,2015,3.383333333333333,Discreet
Sushi takeaway,AL,**,2021,4.395348837209302,Recommended
Metal detecting equipment supplier,WA,**,2021,4.390243902439025,Recommended
Interior designer,NM,***,2019,4.833333333333333,Highly recommended
Market,AL,***,2015,4.428571428571429,Recommended
Australian restaurant,NH,**,2016,3.881006006006006,Recommended
Distribution service,WA,*,2016,3.6236559139784945,Recommended
Sports complex,WA,**,2015,5.0,Highly recommended
Puerto Rican restaurant,AL,*,2017,4.85010989010989,Highly recommended
Check cashing service,AL,**,2021,2.3333333333333335,Discreet
General store,MS,**,2019,2.666666666666667,Discreet
Greek restaurant,NM,*,2016,4.074128380579993,Recommended
Deli,NH,**,2018,4.393772523830491,Recommended
Delivery Chinese restaurant,WA,*,2016,4.436507936507937,Recommended
Tool store,WA,**,2015,4.003641975308642,Recommended
Bicycle Shop,WA,***,2018,4.551387767154074,Highly recommended
Soul food restaurant,WA,**,2020,4.196963941733456,Recommended
Comic book store,AL,*,2020,4.504455117824785,Highly recommended
European restaurant,NM,*,2021,4.7368421052631575,Highly recommended
Lingerie store,NH,*,2021,3.0,Discreet
Envelope supplier,WA,**,2021,5.0,Highly recommended
Hamburger restaurant,NH,*,2018,3.672703544607182,Recommended
Chicken wings restaurant,MS,**,2021,3.7842892431299853,Recommended
Tire shop,WA,*,2015,2.8214814814814817,Discreet
Basque restaurant,WA,**,2019,4.331896551724138,Recommended
Refrigerator repair service,AL,**,2016,4.309558823529412,Recommended
Vegetarian restaurant,AL,**,2016,4.422218059327545,Recommended
Tea house,WA,**,2018,4.580718990041688,Highly recommended
Buffet restaurant,NM,*,2020,4.067283366444889,Recommended
Dessert shop,WA,*,2020,4.183189770962726,Recommended
Hamburger restaurant,MS,**,2021,3.9160391528006104,Recommended
Seafood restaurant,AL,****,2018,4.530751091880247,Highly recommended
Party store,WA,*,2015,3.94283597883598,Recommended
Money transfer service,MS,*,2017,4.0,Recommended
Halal restaurant,AL,**,2020,4.443786982248521,Recommended
Cookie shop,NH,***,2015,4.0,Recommended
Remodeler,NM,*,2018,5.0,Highly recommended
Vegetarian restaurant,NH,**,2016,4.104100830647162,Recommended
Health food store,AL,*,2017,4.6786666666666665,Highly recommended
Afghani restaurant,WA,**,2016,4.616402116402116,Highly recommended
Karaoke bar,AL,**,2020,4.10923750195926,Recommended
Meal delivery,MS,**,2018,4.086111111111111,Recommended
Chinese noodle restaurant,WA,**,2015,4.481203007518797,Recommended
Brunch restaurant,MS,*,2018,3.719196659368951,Recommended
Marine supply store,NH,**,2020,3.465909090909091,Discreet
Outlet store,WA,**,2017,3.898760641949496,Recommended
Baby store,WA,*,2019,3.241111111111111,Discreet
Embroidery service,AL,**,2015,3.0,Discreet
Storage facility,AL,*,2021,4.333333333333333,Recommended
American restaurant,WA,****,2021,4.691666666666666,Highly recommended
Jewelry store,MS,**,2020,4.004539735360071,Recommended
Boat rental service,AL,**,2019,4.333333333333333,Recommended
Business center,AL,**,2017,3.4042780748663106,Discreet
Hobby store,Unknown,**,2020,4.383098120921456,Recommended
Used truck dealer,AL,**,2017,4.6704217145559355,Highly recommended
Equipment rental agency,WA,*,2015,1.3333333333333333,Not recommended
Gourmet grocery store,MS,***,2016,4.0,Recommended
Electrician,NH,*,2017,1.0,Not recommended
Vietnamese restaurant,NH,**,2019,4.5562567132116,Highly recommended
Used clothing store,NM,*,2020,3.2222222222222223,Discreet
Natural goods store,MS,***,2016,4.384615384615385,Recommended
Packaging supply store,WA,*,2021,3.0233840110506778,Discreet
Furniture store,NM,***,2019,4.474950367778333,Recommended
Mandarin restaurant,NH,**,2018,4.285576923076923,Recommended
Korean restaurant,WA,***,2015,4.555555555555555,Highly recommended
Caribbean restaurant,AL,**,2021,4.494483180886689,Recommended
Bank,NM,**,2021,2.6666666666666665,Discreet
Sportswear store,NH,***,2019,4.168560606060606,Recommended
Digital printer,MS,**,2021,4.75,Highly recommended
Forklift rental service,MS,*,2016,5.0,Highly recommended
Gluten-free restaurant,WA,*,2016,4.210389373022216,Recommended
Check cashing service,AL,**,2018,5.0,Highly recommended
Korean restaurant,WA,*,2016,4.4853379044794135,Recommended
Electrical supply store,WA,**,2017,4.449713403880072,Recommended
Shopping mall,WA,*,2018,3.838926174496644,Recommended
European restaurant,AL,***,2018,4.811320754716981,Highly recommended
Microwave oven repair service,Unknown,**,2017,4.833333333333333,Highly recommended
Tea house,NM,**,2017,4.419257284175782,Recommended
Historical landmark,WA,***,2021,4.595238095238095,Highly recommended
Vegetarian cafe and deli,AL,**,2016,4.451612903225806,Recommended
Vaporizer store,WA,*,2020,4.555555555555555,Highly recommended
ATM,NH,*,2020,3.23167701863354,Discreet
Pacific Northwest restaurant (Canada),WA,**,2021,4.3125,Recommended
Building materials store,AL,***,2018,5.0,Highly recommended
Bedding store,AL,*,2015,4.653846153846154,Highly recommended
Masonry supply store,NM,*,2019,4.166666666666667,Recommended
Distribution service,NH,*,2017,3.807017543859649,Recommended
Outlet store,MS,**,2016,4.6833333333333345,Highly recommended
Gastropub,AL,*,2018,4.6230158730158735,Highly recommended
Dessert shop,Unknown,*,2015,3.8333333333333335,Recommended
Party store,NM,*,2021,4.0978670826571415,Recommended
Roofing supply store,WA,**,2017,2.0,Not recommended
Bedding store,MS,***,2020,4.792592592592593,Highly recommended
Casino,NH,**,2016,4.182795698924731,Recommended
Beauty salon,AL,*,2015,1.0,Not recommended
Food products supplier,WA,*,2020,3.708333333333333,Recommended
Gold dealer,WA,**,2021,2.92085326953748,Discreet
Lingerie store,WA,**,2021,4.308181679237818,Recommended
Karaoke,AL,*,2020,4.442346809051614,Recommended
Used book store,MS,*,2015,3.0,Discreet
Korean restaurant,NM,**,2017,4.273423133116317,Recommended
Event venue,NM,**,2017,4.082038018030744,Recommended
Cake shop,NH,*,2019,4.542735042735043,Highly recommended
Tofu restaurant,WA,*,2016,4.875,Highly recommended
Fuel pump,MS,*,2018,3.539393939393939,Recommended
Custom t-shirt store,WA,**,2017,3.5825706130912898,Recommended
Leather goods store,AL,**,2019,4.714285714285714,Highly recommended
Butcher shop,NM,**,2018,4.264705882352941,Recommended
Material handling equipment supplier,NH,**,2021,4.0,Recommended
Oyster bar restaurant,NH,**,2017,4.296929582643868,Recommended
Shipping service,MS,**,2016,2.5375000000000005,Discreet
Cuban restaurant,WA,**,2017,4.582146051622796,Highly recommended
Outlet store,MS,***,2021,4.504387648476318,Highly recommended
Hamburger restaurant,NH,**,2021,4.2288678987694714,Recommended
Costume store,WA,**,2018,4.009096755131339,Recommended
Children's clothing store,AL,****,2018,4.1923076923076925,Recommended
Salad shop,MS,**,2019,4.237391344180933,Recommended
Pet supply store,WA,**,2016,4.051120006691592,Recommended
Cocktail bar,NH,***,2019,4.471621837171473,Recommended
Creole restaurant,AL,**,2015,4.0,Recommended
Plumbing supply store,NH,**,2020,4.6913165266106445,Highly recommended
Battery store,WA,**,2016,4.0,Recommended
Childrens book store,WA,**,2019,4.500623013027746,Highly recommended
Paint store,WA,*,2021,4.184068183642328,Recommended
Deli,NH,*,2019,4.385018055390672,Recommended
Traditional American restaurant,NM,*,2019,4.524709487932576,Highly recommended
Promotional products supplier,MS,**,2019,3.7336309523809526,Recommended
Health food restaurant,WA,*,2019,4.329151600612988,Recommended
Wedding store,AL,***,2017,4.622638491619339,Highly recommended
Food service,AL,*,2015,5.0,Highly recommended
Grill store,MS,**,2019,5.0,Highly recommended
Dog trainer,WA,**,2020,4.8,Highly recommended
Vaporizer store,WA,**,2019,4.553030303030303,Highly recommended
Oyster bar restaurant,WA,***,2021,4.607214255071399,Highly recommended
Burrito restaurant,NM,**,2015,4.15,Recommended
Tapas bar,NM,***,2015,4.444444444444445,Recommended
Outdoor furniture store,AL,*,2017,4.034860540767446,Recommended
Indian takeaway,WA,*,2018,5.0,Highly recommended
Pool hall,AL,*,2018,4.423689199487064,Recommended
Bedding store,NM,***,2019,4.378787878787879,Recommended
Hypermarket,WA,*,2021,2.75,Discreet
Spice store,WA,***,2016,4.666666666666667,Highly recommended
Supermarket,WA,***,2021,4.27493254929453,Recommended
Community center,AL,*,2020,4.787878787878788,Highly recommended
Tuxedo shop,MS,***,2018,2.888888888888889,Discreet
Greeting card shop,AL,**,2015,3.538768115942029,Recommended
Used CD store,WA,**,2016,4.136363636363637,Recommended
Indian restaurant,NM,*,2015,3.1333333333333337,Discreet
Tea store,AL,*,2016,4.60655314757482,Highly recommended
Bar,NH,**,2018,4.266568592089583,Recommended
Hot dog restaurant,WA,*,2018,4.440773805717311,Recommended
Entertainer,MS,*,2021,2.727272727272727,Discreet
Cantonese restaurant,NH,*,2018,3.727272727272727,Recommended
Gluten-free restaurant,MS,**,2017,4.18228986549065,Recommended
Propane supplier,WA,**,2018,4.389534219915893,Recommended
Biryani restaurant,MS,**,2019,4.5928571428571425,Highly recommended
Anhui restaurant,AL,*,2017,4.34375,Recommended
Uniform store,AL,**,2016,4.958333333333334,Highly recommended
Kitchen supply store,AL,**,2015,4.96,Highly recommended
Coffee store,NH,**,2015,4.019047619047619,Recommended
Warehouse,WA,*,2017,3.9239766081871346,Recommended
Argentinian restaurant,WA,*,2019,4.623529411764705,Highly recommended
Gastropub,MS,*,2016,4.2745098039215685,Recommended
Toy store,WA,*,2019,3.9380476170585426,Recommended
Wholesaler,WA,***,2016,4.555555555555555,Highly recommended
Scrapbooking store,NH,**,2021,4.404960955767798,Recommended
Grocery store,Unknown,*,2017,3.9668508287292816,Recommended
Takeout Restaurant,MS,**,2016,4.1220164852116215,Recommended
Eclectic restaurant,AL,**,2017,4.364057239057239,Recommended
Marble supplier,AL,*,2021,5.0,Highly recommended
Sporting goods store,WA,***,2016,4.5625,Highly recommended
Gluten-free restaurant,NM,**,2021,4.182430490096375,Recommended
Spanish restaurant,NM,*,2015,4.0,Recommended
Custom t-shirt store,WA,***,2017,4.063888888888889,Recommended
Baby clothing store,WA,*,2021,4.166681832878318,Recommended
Trailer supply store,WA,*,2016,3.4997276324727054,Discreet
Coffee wholesaler,WA,**,2017,4.9375,Highly recommended
Telephone company,NM,**,2015,2.637121212121212,Discreet
ATM,AL,**,2019,3.395963734685217,Discreet
Modern European restaurant,NH,**,2020,4.888888888888889,Highly recommended
Tapas bar,NM,***,2017,4.4392523364485985,Recommended
Luggage store,NM,*,2017,4.144230769230769,Recommended
Plumber,WA,*,2017,2.2222222222222223,Discreet
American restaurant,MS,*,2015,3.4615431374243673,Discreet
Breakfast restaurant,NM,*,2020,3.795739413334345,Recommended
Salad shop,AL,*,2017,3.7841111823613267,Recommended
Box lunch supplier,AL,**,2017,3.7793511714995134,Recommended
Toy store,NH,*,2016,3.914447972442909,Recommended
Public bathroom,NM,*,2017,4.268783068783069,Recommended
Video store,MS,**,2016,3.8471947506287165,Recommended
Office equipment supplier,NM,**,2017,3.835419243454958,Recommended
Collectibles store,WA,**,2017,3.9480822270605884,Recommended
Family restaurant,NM,**,2017,4.000652903964981,Recommended
Blues club,AL,*,2018,4.842105263157895,Highly recommended
Electric vehicle charging station,WA,**,2018,3.2061066017316016,Discreet
Seafood restaurant,NH,****,2017,3.4444444444444446,Discreet
African restaurant,NM,**,2018,4.680093799797189,Highly recommended
Brewpub,WA,*,2018,4.497506987782885,Recommended
Paint store,NM,**,2021,4.511582532899296,Highly recommended
Clothing store,WA,***,2020,4.215127680342001,Recommended
Pet groomer,AL,*,2018,4.571428571428571,Highly recommended
Ethnic restaurant,WA,*,2017,4.384615384615385,Recommended
Lighting store,NM,*,2019,4.066721431974714,Recommended
Outlet store,AL,***,2016,4.833333333333333,Highly recommended
Ramen restaurant,WA,*,2021,4.458689839572193,Recommended
Ear piercing service,MS,**,2020,3.357142857142857,Discreet
Jeweler,NH,***,2021,3.912087912087912,Recommended
