year,state,response_strategy,avg_rating
2016,WA,Rare or none,4.123160474290382
2020,NM,Slow but frequent,4.3600381914465505
2020,NM,Rare or none,4.224930386832627
2017,Unknown,Rare or none,4.433448913805184
2020,AL,Rare or none,4.281334111729776
2018,AL,Occasional,4.246924965213262
2017,NM,Slow but frequent,4.284513120647203
2019,WA,Rapid and frequent,4.272841789201507
2019,MS,Rapid and frequent,4.302823982322048
2018,NM,Occasional,4.189970033380143
2019,MS,Occasional,4.261628780112673
2019,WA,Slow but frequent,4.382085227927701
2017,AL,Slow but frequent,4.352257916575116
2021,NM,Rapid and frequent,4.237004768445429
2016,AL,Occasional,4.008119841862492
2018,AL,Rapid and frequent,4.296857785359101
2018,WA,Rare or none,4.247207210497237
2021,AL,Occasional,4.260925232708631
2020,AL,Rapid and frequent,4.296090157937716
2018,WA,Occasional,4.24645187186767
2017,WA,Rapid and frequent,4.145775181596174
2015,MS,Occasional,4.010399282981827
2020,NM,Occasional,4.2533774065007846
2016,MS,Slow but frequent,4.163578115035544
2018,Unknown,Rare or none,4.487996857532614
2016,AL,Rapid and frequent,4.154730144770437
2017,MS,Rare or none,4.182365926577742
2015,MS,Rare or none,3.9187366645889457
2017,WA,Occasional,4.18243774459911
2018,NM,Rare or none,4.180899716693578
2021,Unknown,Rare or none,4.37038512571512
2019,NH,Occasional,4.3582085474036525
2015,Unknown,Rare or none,4.436484712260566
2018,MS,Occasional,4.210307762991277
2021,Unknown,Occasional,4.530196100504788
